text,label
That idea turned out a bit irritating lately.,0
I think Life will be tolerable because that’s true.,2
He looks enjoyable this week.,1
What a delightful time School appears!,1
The day went usual this week.,0
Does This place turned out fantastic?,1
School seems so hopeless.,0
This place turned out sufficient but I don’t mind.,2
How wonderful This place feels!,1
Does Life went irritating?,2
Does The food appears awful?,0
Why gets The movie very pleasant?,1
She was awful but I don’t mind.,1
How happy The game appears!,1
"Wow, The project has been quite excellent!",1
My phone became kind of satisfying though it could be worse.,1
How frustrating The trip appears!,0
The trip went  wonderful because it could be worse.,0
How disastrous The movie gets!,0
The book sounds impressive this week.,0
How somewhat dull turned out My phone?,2
How really good is The experience?,1
What a middling time The day sounds!,0
"Wow, The movie looks slightly unpleasant!",0
The game was really rotten lately.,0
The game looks very okay since it’s fine.,2
"Wow, My phone was very mediocre!",2
"Wow, The game has been pretty disappointing!",0
Why appears The food very fair?,2
The city gets so beautiful lately.,1
The team turned out quite sad lately.,0
How cool School has been!,1
This place went normal today.,2
Does The game feels okay?,2
I turned out kind of not great.,2
Does The project gets pathetic?,0
Does You appears bleak?,0
I think The party looks decent yet that’s true.,2
Why was The day a bit impressive?,1
So miserable that The party feels!,0
Is The weather really good?,1
How grim This place feels!,0
My phone gets bad since I don’t mind.,0
The food is plain this week.,2
They will be usual since I don’t mind.,2
The book has been quite irritating and it could be worse.,0
Is We totally fantastic?,1
How depressing The party has been!,0
They feels irritating today.,0
Work will be somewhat miserable.,0
Life sounds middling and I don’t mind.,2
How bad The game has been!,0
How very usual seems The day?,2
The city will be great today.,1
How bleak We appears!,0
"Wow, The city seems totally normal!",2
Why was They  moderate?,2
Is The weather kind of fabulous?,1
What a exciting time The weather went!,2
You looks exciting this week.,1
Is The experience  fantastic?,1
Is The day  sad?,0
The city turned out unremarkable  I don’t mind.,0
Is I totally happy?,1
The weather is horrible and I don’t mind.,0
We sounds  normal and it could be worse.,0
What a average time Work seems!,0
He became good but I don’t mind.,1
Why went Life  lousy?,0
I think School seems tolerable though that’s true.,0
Work looks standard today.,2
She looks slightly rotten since it could be worse.,0
The movie was so awful.,0
How pathetic This place turned out!,0
So typical that The game looks!,2
The team gets terrible today.,1
The city appears wonderful but I don’t mind.,1
So ugly that The experience went!,1
The weather feels pretty impressive.,1
Work seems totally enjoyable yet it’s fine.,1
So incredible that Life sounds!,1
Does The game remains plain?,2
The party became totally splendid but it could be worse.,1
Why will be He kind of awful?,0
The experience feels great this week.,0
Is We a bit lousy?,0
He sounds terrible this week.,2
"Wow, My phone turned out pretty lovely!",1
"Wow, The party was slightly disappointing!",0
The trip seems totally terrible.,0
We feels good because I don’t mind.,2
How amazing The team gets!,1
Does The trip was usual?,2
The trip will be very amazing and it’s fine.,1
School gets quite depressing.,0
So mediocre that The experience has been!,2
Life turned out  neutral  it could be worse.,0
Does The project is mediocre?,2
So enjoyable that The movie gets!,1
The game gets exciting today.,1
"Wow, The city appears a bit enjoyable!",1
She gets quite horrible.,0
She will be  usual because it’s fine.,1
Why went The food totally middling?,2
Is They so decent?,2
The game seems so okay.,2
My phone became kind of typical yet it could be worse.,2
My friend has been passable this week.,2
The day is  nice because it could be worse.,1
The weather remains dreadful this week.,0
The game was pretty bad lately.,0
Does The project looks decent?,0
The movie feels somewhat so-so.,2
My phone looks somewhat exciting and it could be worse.,1
Why looks This place pretty bleak?,0
"Wow, This place is quite fair!",2
We appears quite lame lately.,1
What a not great time School appears!,2
Does The day became so-so?,0
The weather went totally mediocre  it could be worse.,2
How exciting Life went!,2
The party feels  adequate but it could be worse.,1
The book remains dull today.,0
How plain The party was!,1
They became ugly because I don’t mind.,0
How very unremarkable remains The movie?,2
The project turned out a bit fantastic since it could be worse.,1
Why will be The game really tolerable?,2
The food appears  lovely and it could be worse.,1
The book was  wonderful yet it could be worse.,1
"Wow, The game looks  disappointing!",2
So miserable that Work became!,0
I will be neutral since I don’t mind.,2
The movie is  disappointing but it’s fine.,0
How kind of super remains She?,1
The weather gets frustrating this week.,0
Is The book slightly satisfying?,1
They will be slightly incredible lately.,1
The food appears lame while I don’t mind.,0
I think You looks tolerable because that’s true.,2
She became pretty wonderful.,1
Does The party went enjoyable?,1
Work seems unpleasant today.,0
What a super time I looks!,1
"Wow, You is kind of not bad!",2
The team became fantastic this week.,0
He was happy while I don’t mind.,1
They became mediocre today.,2
What a typical time My phone feels!,2
The food looks lame today.,0
Why was Work  splendid?,1
Does My phone remains middling?,2
Work looks normal today.,2
How delightful That idea has been!,1
The game feels really awful.,0
The experience went tolerable this week.,2
"Wow, My friend has been really acceptable!",2
The party became somewhat alright  it could be worse.,2
Does The team was beautiful?,1
Why feels The movie totally not bad?,2
Is The city a bit ugly?,0
My phone remains  fabulous lately.,1
Is The project pretty pathetic?,0
What a dreadful time The game became!,0
How very middling has been That idea?,2
How sufficient School gets!,2
I became very impressive.,1
The game went boring this week.,0
The game appears slightly charming lately.,1
Does The game is miserable?,0
My phone will be very fantastic yet it’s fine.,1
Does The book has been dreadful?,0
So hopeless that My friend was!,1
So awesome that I sounds!,1
How totally nice feels He?,2
This place turned out impressive because I don’t mind.,1
School will be really lousy and it could be worse.,0
The food remains so neutral lately.,2
So beautiful that You seems!,2
He went irritating and I don’t mind.,0
Does The movie remains fabulous?,1
Why is The trip somewhat so-so?,2
We sounds kind of nothing special  it could be worse.,2
Does The movie sounds boring?,0
How adequate You became!,2
The team looks impressive today.,1
How kind of lovely was The game?,1
"Wow, School has been very typical!",2
The experience will be grim this week.,0
"Wow, The party was quite middling!",2
The city became very sufficient lately.,2
How charming The trip gets!,2
The day seems quite normal since it’s fine.,1
How so okay looks The movie?,1
The book remains  irritating lately.,2
So irritating that We was!,0
The team turned out moderate today.,0
How quite awesome gets The weather?,0
I appears pretty satisfying.,1
The team turned out a bit poor.,0
I seems so charming and it’s fine.,1
"Wow, I will be slightly mediocre!",0
Does We feels poor?,0
The book seems a bit usual.,2
So alright that The day was!,2
The experience will be very middling because it could be worse.,2
"Wow, We gets quite normal!",2
So normal that The team appears!,2
Is This place a bit rotten?,0
The project will be somewhat unpleasant.,1
How nothing special Work gets!,0
So lame that This place will be!,0
The food was acceptable and I don’t mind.,2
The team feels splendid this week.,2
Life feels neutral this week.,1
The movie appears tolerable today.,2
So wonderful that The city appears!,1
The weather was quite terrible.,0
Does The city appears dull?,0
Why gets We totally fabulous?,1
What a middling time The movie gets!,2
You will be totally not great because it could be worse.,2
How kind of normal has been The game?,2
This place sounds so splendid lately.,1
The movie remains fair today.,2
The city is quite poor lately.,0
What a amazing time They appears!,1
How so not bad remains Work?,2
The party has been pretty nothing special and it’s fine.,2
We gets so lame lately.,0
She gets so good but it’s fine.,1
Is The game quite grim?,0
Is She quite irritating?,1
How so passable went The movie?,2
The party looks kind of bleak lately.,0
I think He was great yet that’s true.,2
Why seems This place very awesome?,1
The party feels happy today.,1
Does The book appears lousy?,0
Is My phone totally acceptable?,0
My friend seems enjoyable today.,1
My phone was excellent this week.,1
How very passable will be The experience?,2
Work seems perfect  I don’t mind.,1
My phone became perfect today.,0
The day has been very sad since it could be worse.,0
Is The city slightly fair?,0
How passable The project is!,1
What a splendid time The party turned out!,1
The weather feels awesome this week.,1
The movie became not bad this week.,2
Does She will be depressing?,0
How slightly horrible will be School?,0
Is The weather a bit adequate?,2
"Wow, The project seems so exciting!",2
Does The food feels exciting?,1
The book feels somewhat annoying lately.,2
Does You looks excellent?,1
The day will be fantastic though I don’t mind.,1
"Wow, They appears somewhat super!",0
"Wow, The party became kind of fair!",2
Is Work so cool?,2
Does The team seems adequate?,2
How disappointing She is!,2
The experience was terrible today.,0
Why went The book slightly fair?,2
The team remains grim this week.,0
Does They sounds lousy?,0
The team seems typical this week.,0
The party appears alright today.,1
So acceptable that The city went!,2
The book remains totally pleasant.,1
My friend sounds  fine lately.,2
So miserable that The project went!,0
So happy that I appears!,0
Why appears The project  disastrous?,0
Is The team somewhat passable?,2
The food will be unpleasant this week.,0
The day appears brilliant while I don’t mind.,1
Is The day  great?,1
Why looks That idea quite sad?,0
How fine The game gets!,2
How  boring seems The trip?,0
The movie went  average since it could be worse.,2
The party is kind of exciting yet it’s fine.,1
Does The movie went neutral?,2
"Wow, They feels slightly nice!",1
How terrible The experience gets!,1
How perfect The experience remains!,1
Is The party  acceptable?,2
The project will be beautiful today.,1
The party sounds  nothing special.,2
The book has been exciting and I don’t mind.,1
This place appears sad this week.,0
I seems totally horrible lately.,0
Is You a bit dreadful?,2
My friend has been quite happy.,1
How boring The book feels!,0
The experience went splendid since I don’t mind.,1
So terrible that You feels!,1
The project has been a bit sad.,0
Is He pretty neutral?,0
How a bit decent looks They?,2
Why is The book so unremarkable?,2
The day became annoying today.,0
My phone looks so plain lately.,2
Work went so delightful lately.,1
Is The experience totally standard?,2
I think You feels pleasant  that’s true.,2
The trip has been totally amazing though it’s fine.,1
The experience appears totally enjoyable though it could be worse.,1
How pleasant I was!,1
"Wow, The trip appears really grim!",0
Why remains The trip a bit disappointing?,0
What a irritating time The team is!,0
Does You feels tolerable?,2
What a terrible time He gets!,0
The trip seems fantastic this week.,2
How very grim appears He?,0
We seems passable this week.,2
We seems exciting today.,1
Is The food very disappointing?,0
The day looks bad today.,0
Is The city quite neutral?,2
The weather feels a bit fair lately.,2
That idea gets  incredible since it’s fine.,1
Why is The book really exciting?,1
The game became very poor yet it’s fine.,0
I think She feels exciting yet that’s true.,1
I think The party is nice  that’s true.,2
How quite perfect sounds She?,1
The trip has been pretty lousy lately.,0
The book sounds unremarkable while I don’t mind.,2
The game appears fair this week.,2
I think You is amazing but that’s true.,1
He appears incredible this week.,1
How so-so The trip feels!,2
He will be nothing special because I don’t mind.,2
Why remains They slightly not bad?,2
Why appears The movie really cool?,1
"Wow, The food seems  pathetic!",0
Does I remains irritating?,0
I has been dull this week.,0
She turned out disastrous this week.,2
So nice that School is!,1
What a boring time You turned out!,0
Is The day pretty great?,2
We sounds a bit beautiful and it’s fine.,1
This place was not great today.,2
This place gets depressing but I don’t mind.,0
Does The project will be miserable?,0
So typical that The movie gets!,2
The book feels a bit fair.,1
This place appears pretty acceptable.,2
The day remains not bad this week.,2
I think The movie turned out normal  that’s true.,2
That idea is slightly boring because it’s fine.,0
The city turned out  good yet it’s fine.,1
The team will be quite enjoyable and it’s fine.,2
She remains kind of okay lately.,2
I think The team feels pleasant  that’s true.,1
That idea looks kind of normal lately.,1
What a awful time This place looks!,1
The city became a bit fair lately.,2
Is The game really perfect?,1
Is I quite beautiful?,1
Why remains The movie really nothing special?,2
The experience has been excellent this week.,2
The trip was great today.,1
The city seems awful since I don’t mind.,1
How  great was The team?,1
How kind of horrible turned out That idea?,1
Is This place kind of annoying?,1
That idea turned out so nice since it could be worse.,1
Why turned out The game totally amazing?,1
So fantastic that I will be!,1
Does The book went mediocre?,2
What a exciting time The weather has been!,1
They sounds fabulous today.,1
They will be hopeless today.,0
Does The movie is grim?,0
Is The day slightly charming?,1
My friend has been a bit frustrating lately.,0
My friend turned out enjoyable today.,1
That idea appears a bit so-so lately.,2
Is That idea so average?,2
Does You remains fantastic?,1
She remains adequate while I don’t mind.,2
How perfect They became!,1
That idea remains quite adequate lately.,2
This place gets dull since I don’t mind.,1
The team gets lovely this week.,1
The team will be  super since it’s fine.,0
The book appears fair today.,2
Why will be The food slightly terrible?,0
The team went great this week.,1
How  normal became They?,2
The project gets neutral  I don’t mind.,2
The weather became lame  I don’t mind.,1
The movie became irritating this week.,0
So lousy that I appears!,1
How totally adequate went She?,2
How  disastrous seems The project?,2
The experience has been slightly usual  it could be worse.,2
"Wow, He has been  usual!",2
My friend is totally fine and it’s fine.,1
School is so okay.,2
I think The game is so-so because that’s true.,2
You went bad today.,0
The team looks a bit splendid lately.,1
The game was slightly alright.,2
How nice The game seems!,1
School will be lousy this week.,0
How somewhat boring has been The day?,0
How terrible The book will be!,1
So nice that The movie will be!,0
How totally pleasant appears My phone?,1
How hopeless The experience became!,0
How depressing The movie sounds!,0
Is The game very neutral?,1
The city was very alright.,2
"Wow, We sounds really lovely!",0
My friend went quite typical.,2
So wonderful that The movie remains!,1
The movie feels very incredible.,2
How really brilliant went We?,2
He has been  normal while it’s fine.,2
How satisfying She appears!,1
Does The party seems amazing?,1
The weather looks kind of unpleasant lately.,0
That idea became impressive today.,2
What a dull time The trip will be!,0
The weather will be disastrous this week.,0
What a cool time He turned out!,1
How nice You gets!,1
Why will be We somewhat lousy?,2
So nice that The experience sounds!,2
How  typical sounds The food?,2
The day feels kind of lousy lately.,0
Is The book somewhat adequate?,2
Why appears The day slightly miserable?,0
Is He  amazing?,1
The team feels dreadful today.,1
Does They looks charming?,1
I think My friend will be moderate because that’s true.,2
The book will be nice this week.,1
The food will be a bit amazing lately.,1
Is The city really brilliant?,0
What a fair time The trip seems!,2
"Wow, I became pretty tolerable!",1
They gets really pathetic.,0
So typical that The movie turned out!,2
How beautiful The project will be!,1
That idea became really satisfying lately.,1
The city is passable today.,2
So amazing that The city looks!,2
How pretty annoying went The day?,1
How very exciting looks The game?,1
How pretty beautiful has been The trip?,0
The movie seems totally impressive lately.,1
What a awful time The team sounds!,0
Why feels My friend  super?,1
The book will be pretty enjoyable and it could be worse.,1
My phone seems quite sufficient since it could be worse.,2
How slightly charming is The party?,1
How kind of normal became That idea?,2
How charming The team was!,1
"Wow, She was somewhat bleak!",0
Why looks This place somewhat passable?,2
Life sounds  sufficient lately.,2
Does The game remains fair?,2
"Wow, Life has been totally dreadful!",1
The experience remains pleasant today.,2
The food will be nothing special this week.,2
The city has been kind of tolerable but it could be worse.,2
She turned out really disappointing though it’s fine.,0
How really fantastic remains My phone?,1
So grim that We appears!,1
How impressive I is!,1
I think She sounds rotten though that’s true.,2
He turned out a bit not great yet it could be worse.,2
How slightly okay feels The movie?,2
That idea remains good this week.,1
My phone looks satisfying today.,1
Why was My phone pretty terrible?,0
I think He was wonderful  that’s true.,1
"Wow, The book seems totally incredible!",1
The city looks pathetic  I don’t mind.,0
The book feels  normal lately.,2
The party went pretty nothing special lately.,2
So passable that My phone will be!,2
Does Work is unremarkable?,2
Does They will be miserable?,0
The party will be totally lousy  it could be worse.,0
The game went fantastic today.,1
Is The day somewhat adequate?,2
Why seems The food pretty charming?,1
Life went perfect this week.,1
I think My phone was impressive but that’s true.,1
That idea turned out lovely today.,1
The city gets fabulous today.,1
The food gets horrible this week.,0
School seems happy this week.,1
Work has been impressive yet I don’t mind.,2
Does The game remains sad?,0
Work sounds typical and I don’t mind.,2
The game went kind of cool.,1
The food gets very super lately.,1
The food gets beautiful though I don’t mind.,1
"Wow, The trip seems  normal!",2
"Wow, Work gets very tolerable!",2
They remains horrible this week.,0
I gets somewhat normal.,2
I think School remains exciting but that’s true.,1
You turned out quite splendid.,1
The food seems kind of irritating lately.,2
The project gets so splendid lately.,1
Is The weather somewhat nothing special?,2
Is The book  moderate?,2
How kind of nice will be Life?,2
How very tolerable became This place?,2
They was not great this week.,2
The game became plain today.,2
Is Work quite awful?,0
Does Life was annoying?,0
That idea was so bleak.,0
Is This place so dreadful?,0
The food feels pretty horrible.,0
The trip gets somewhat usual though it could be worse.,2
Is School totally pleasant?,1
How dull School feels!,0
How so normal seems They?,2
Is The city very sad?,0
So bleak that My friend feels!,0
I think The experience sounds frustrating but that’s true.,0
This place went really brilliant.,1
How lame You gets!,0
What a annoying time The trip has been!,0
Why is You so charming?,1
Does This place gets pleasant?,1
I think School became fabulous because that’s true.,1
"Wow, He feels a bit cool!",1
Why remains That idea  lame?,0
We went beautiful because I don’t mind.,1
Why feels The experience somewhat excellent?,1
School went  cool lately.,1
The trip will be somewhat so-so.,2
So so-so that The experience gets!,0
Does They seems frustrating?,0
He remains beautiful today.,1
Does You looks okay?,0
I think The movie remains fine while that’s true.,2
How somewhat tolerable remains My friend?,2
School feels okay though I don’t mind.,0
"Wow, Work seems so impressive!",1
The food sounds totally wonderful yet it could be worse.,1
So awful that School became!,1
Why is She kind of nice?,1
"Wow, The trip gets quite incredible!",2
"Wow, The day has been totally terrible!",0
"Wow, The team seems slightly brilliant!",2
How super My phone appears!,1
Why will be That idea a bit disastrous?,0
How very plain is The weather?,1
The food is pretty nice  it could be worse.,1
How  poor appears The game?,0
"Wow, The movie sounds slightly ugly!",0
The party gets awful today.,0
So acceptable that He became!,2
Is You quite dull?,0
My friend sounds terrible though I don’t mind.,0
How really mediocre appears The weather?,2
Work gets fabulous this week.,1
So boring that The movie seems!,0
This place went totally amazing lately.,1
You sounds average this week.,2
So ugly that This place appears!,0
My phone gets poor because I don’t mind.,0
Why turned out He so fabulous?,1
Does Life looks neutral?,2
You became pathetic this week.,2
The project went standard this week.,2
That idea went super this week.,1
She is horrible this week.,0
Does They turned out disappointing?,0
They was charming today.,2
How super The project turned out!,0
The team is somewhat rotten.,0
The project feels adequate today.,2
"Wow, I turned out  average!",2
The project gets grim because I don’t mind.,0
He sounds incredible this week.,1
The movie remains tolerable this week.,2
The city gets a bit horrible.,0
The food has been quite nice lately.,1
Does My phone became happy?,1
The movie looks quite good while it’s fine.,1
How excellent Work appears!,1
How fantastic This place turned out!,1
How  exciting sounds This place?,1
Does She sounds ugly?,0
The experience has been  fine since it could be worse.,0
They was miserable though I don’t mind.,1
Why sounds The team very not bad?,2
What a tolerable time She turned out!,2
He looks slightly passable since it’s fine.,2
Does The team feels exciting?,1
Work turned out standard this week.,2
How very not bad has been Work?,1
Why went The experience  rotten?,0
The city sounds nice because I don’t mind.,1
Is My friend totally horrible?,0
I think That idea became disastrous  that’s true.,0
Does Work is excellent?,1
Is This place quite neutral?,2
Is The movie pretty disastrous?,0
So wonderful that The experience is!,1
How very neutral was The experience?,2
How fair My friend remains!,2
I think Life seems fair but that’s true.,2
Does Life became average?,0
School became really sufficient but it could be worse.,2
The project has been a bit hopeless.,1
Work feels nothing special but I don’t mind.,1
I think The day became impressive yet that’s true.,1
I think The book will be enjoyable because that’s true.,1
"Wow, The party will be so nothing special!",2
That idea gets lousy today.,0
How totally not great feels You?,1
The trip went kind of adequate while it could be worse.,2
My friend went  fair since it’s fine.,2
Does I gets moderate?,2
So okay that He went!,2
Why was The game so splendid?,1
We sounds slightly super though it could be worse.,1
"Wow, We looks so grim!",0
"Wow, The game went really splendid!",1
The game seems kind of sad while it could be worse.,2
So pleasant that The experience became!,1
How charming He went!,1
How really dreadful remains The team?,0
That idea went pretty middling since it could be worse.,2
"Wow, The book became very brilliant!",1
He became quite wonderful.,1
The game remains totally okay yet it’s fine.,1
Why was My friend very impressive?,0
They was  beautiful lately.,2
The party has been excellent this week.,1
I think The party will be terrible and that’s true.,0
Is School kind of tolerable?,2
The book has been really great yet it could be worse.,1
The experience gets pretty amazing lately.,1
I think He turned out happy because that’s true.,1
So irritating that The project appears!,0
I think They sounds alright but that’s true.,2
The city turned out beautiful today.,1
I will be really acceptable but it could be worse.,2
The project became  alright and it could be worse.,2
The trip went pathetic today.,0
How kind of beautiful has been The food?,1
The food seems okay today.,1
Is The project totally tolerable?,0
School sounds fabulous this week.,1
Is The team really splendid?,1
I gets pretty nothing special but it’s fine.,2
I think The team feels so-so yet that’s true.,2
You remains totally dreadful lately.,0
The party went slightly terrible though it could be worse.,0
I went quite excellent.,1
"Wow, We remains pretty normal!",0
The trip feels quite sufficient lately.,2
Why sounds My phone slightly frustrating?,1
Why seems The book so rotten?,0
The experience sounds splendid this week.,2
I will be  super lately.,1
Why is The food very sad?,0
Work feels not great this week.,2
The movie feels a bit miserable lately.,0
How bleak The experience became!,0
How quite splendid looks The party?,1
You became decent but I don’t mind.,2
They became so-so today.,2
They went slightly normal since it’s fine.,2
Is The party very passable?,2
Does The day appears awful?,0
Is We quite mediocre?,2
I sounds really plain because it’s fine.,1
The day feels  sad.,0
Is Life pretty exciting?,1
Why turned out My phone really decent?,2
Why sounds Life so good?,1
Life is boring though I don’t mind.,0
How totally usual remains They?,2
Why is You pretty amazing?,1
Why feels They kind of amazing?,1
You became not great today.,2
What a unremarkable time The movie is!,2
I think The day seems terrible because that’s true.,0
How slightly disappointing became Work?,0
Life became really grim while it could be worse.,0
I think The party sounds tolerable and that’s true.,2
The city was awful yet I don’t mind.,0
How a bit not great has been The movie?,2
How so normal sounds Work?,1
My friend appears so amazing lately.,1
The day went quite incredible lately.,1
What a okay time The team will be!,2
So standard that The team remains!,2
Is The project  bad?,0
So neutral that The party seems!,1
Why will be The game totally sufficient?,2
The weather appears slightly frustrating since it could be worse.,0
She has been disappointing this week.,0
"Wow, The book appears slightly nothing special!",2
Is This place kind of standard?,2
How acceptable My friend is!,2
My phone seems totally not bad since it’s fine.,2
The day appears decent today.,2
My friend sounds very decent because it could be worse.,2
"Wow, The weather is  boring!",1
I appears horrible this week.,0
I think The day seems brilliant but that’s true.,1
The movie became plain  I don’t mind.,0
The city turned out really awesome though it’s fine.,0
They will be pretty alright.,2
"Wow, I feels somewhat bleak!",0
How a bit neutral is The game?,2
Is My friend a bit pathetic?,0
The team feels frustrating today.,0
That idea appears really grim lately.,0
How so moderate seems That idea?,2
So middling that This place gets!,2
He feels happy while I don’t mind.,1
The weather appears sufficient  I don’t mind.,0
Why was The food quite mediocre?,2
How irritating I went!,0
I think My friend appears acceptable while that’s true.,2
He sounds slightly unpleasant while it could be worse.,1
How not great Life became!,2
I think My phone turned out passable  that’s true.,0
The project gets totally sad though it could be worse.,0
This place gets pretty acceptable while it could be worse.,2
The team went so fair.,2
How moderate The movie remains!,2
They gets tolerable this week.,2
That idea seems  wonderful.,1
Why remains Life somewhat impressive?,1
How pretty dreadful feels The team?,0
The team will be slightly tolerable.,2
You seems frustrating  I don’t mind.,0
That idea is slightly satisfying.,1
Does The game seems unremarkable?,2
Why feels They so rotten?,0
I think We seems unpleasant yet that’s true.,0
She remains miserable today.,2
The city has been tolerable though I don’t mind.,2
They has been horrible this week.,0
The weather appears quite impressive since it’s fine.,0
School will be somewhat standard lately.,2
How great The food has been!,1
The team turned out very alright though it could be worse.,1
Why will be Work totally pleasant?,1
How kind of lovely feels The experience?,1
This place feels  excellent  it’s fine.,1
Work has been great today.,1
Is The food  great?,1
The book gets so beautiful lately.,1
"Wow, School remains really sad!",0
How somewhat charming remains Life?,1
How somewhat lame gets That idea?,0
Does The city will be grim?,0
How  enjoyable appears She?,1
What a irritating time The day looks!,0
What a moderate time The team is!,2
Is I totally good?,1
What a tolerable time This place has been!,2
What a great time The team seems!,1
Does He was horrible?,1
The food looks so dull yet it’s fine.,0
My friend looks pretty fabulous since it’s fine.,0
The party will be totally decent because it could be worse.,2
What a hopeless time The day remains!,0
Does The trip is lousy?,0
How pretty middling remains Work?,1
"Wow, Work seems so frustrating!",0
What a great time That idea turned out!,0
Does The team appears happy?,1
The game became pretty incredible but it’s fine.,1
Why appears The trip really bad?,0
How  pleasant will be This place?,2
Why will be The day somewhat standard?,1
"Wow, My phone remains very mediocre!",2
Is My phone  fabulous?,1
How quite standard sounds My friend?,2
My phone will be great this week.,2
Does My friend is nothing special?,2
What a happy time We sounds!,1
Why has been School somewhat terrible?,0
The book will be fair this week.,2
The movie is impressive this week.,1
Why looks They a bit great?,2
What a adequate time My friend looks!,2
Why remains The weather so boring?,0
How very unpleasant feels Work?,0
How  decent appears The party?,2
How  acceptable gets The weather?,2
Why seems My friend so enjoyable?,1
What a lame time You appears!,2
"Wow, Life has been very decent!",1
You sounds passable today.,2
What a awesome time She was!,1
So depressing that The game appears!,0
The city turned out  satisfying lately.,1
Why remains She somewhat horrible?,0
Why has been Work really sufficient?,2
How so not great has been You?,2
So grim that The book was!,0
Work was quite exciting  it could be worse.,0
The food feels very disastrous lately.,0
Does The team appears not bad?,2
We gets happy today.,1
So pleasant that She will be!,1
Is She somewhat irritating?,0
"Wow, My friend will be a bit depressing!",0
What a passable time I will be!,2
What a nothing special time We looks!,2
Work was beautiful yet I don’t mind.,0
Is You very good?,2
I think My friend is cool but that’s true.,1
My phone was tolerable this week.,2
Why seems The team pretty bleak?,0
The weather became kind of bleak yet it could be worse.,0
How totally disappointing is The city?,0
"Wow, The experience seems a bit awful!",0
I think This place gets awesome though that’s true.,1
My friend has been totally terrible lately.,0
This place turned out so poor.,0
How not bad We remains!,2
We remains slightly usual.,0
The party feels horrible this week.,0
The day became  lousy.,0
The city was  grim while it could be worse.,0
The project turned out quite lame yet it could be worse.,0
What a unremarkable time I has been!,2
How so wonderful remains You?,1
This place gets fantastic this week.,1
So not great that Life feels!,2
My phone sounds really moderate since it’s fine.,2
This place is neutral this week.,0
My phone gets slightly perfect and it’s fine.,1
The game will be nothing special this week.,2
She was quite middling  it could be worse.,2
So tolerable that The experience went!,0
Does Work was plain?,0
This place turned out quite average while it could be worse.,2
How typical They turned out!,2
School sounds not great this week.,2
My phone sounds decent this week.,2
Work has been slightly annoying yet it could be worse.,0
So plain that You will be!,2
The game became kind of usual but it could be worse.,2
School is slightly middling lately.,2
The project will be slightly middling lately.,2
Does The food will be impressive?,1
How  sad looks The party?,0
Work is somewhat disastrous yet it could be worse.,0
